panel,sweep,level,species,point_index,x,value
a,pressure_melt,surface,CO2,0,3.0,-2.7352829793470965
a,pressure_melt,surface,CO2,1,3.1667144089270707,-2.9292506472600444
a,pressure_melt,surface,CO2,2,3.333428816876389,-3.1333851686679957
a,pressure_melt,surface,CO2,3,3.5001432248257074,-3.358052749736199
a,pressure_melt,surface,CO2,4,3.666857633752778,-3.6080377984135144
a,pressure_melt,surface,CO2,5,3.8335338487411583,-3.898889623947815
a,pressure_melt,surface,CO2,6,4.000248257668229,-4.243366628823733
a,pressure_melt,surface,CO2,7,4.166466151258842,-4.6669856282172635
a,pressure_melt,surface,CO2,8,4.333180559208159,-5.1976556438305135
a,pressure_melt,surface,CO2,9,4.499894967157478,-5.876442800087346
a,pressure_melt,surface,CO2,10,4.666609376084549,-6.749197614050401
a,pressure_melt,surface,CO2,11,4.833285591072929,-7.884695889382132
a,pressure_melt,surface,CO2,12,5.0,-9.372246479198518
a,pressure_melt,surface,CH4,0,3.0,-3.1768434894112483
a,pressure_melt,surface,CH4,1,3.1667144089270707,-2.9394175007550487
a,pressure_melt,surface,CH4,2,3.333428816876389,-2.7277076748417244
a,pressure_melt,surface,CH4,3,3.5001432248257074,-2.5337400120321387
a,pressure_melt,surface,CH4,4,3.666857633752778,-2.350138550284438
a,pressure_melt,surface,CH4,5,3.8335338487411583,-2.1739130454752296
a,pressure_melt,surface,CH4,6,4.000248257668229,-2.000478442325896
a,pressure_melt,surface,CH4,7,4.166466151258842,-1.8270438391765627
a,pressure_melt,surface,CH4,8,4.333180559208159,-1.6458345788516109
a,pressure_melt,surface,CH4,9,4.499894967157478,-1.4544584650316565
a,pressure_melt,surface,CH4,10,4.666609376084549,-1.24254929155145
a,pressure_melt,surface,CH4,11,4.833285591072929,-1.007914199451763
a,pressure_melt,surface,CH4,12,5.0,-0.7553376017848166
a,pressure_melt,surface,N2,0,3.0,-3.2890776087135905
a,pressure_melt,surface,N2,1,3.1667144089270707,-3.541654211483899
a,pressure_melt,surface,N2,2,3.333428816876389,-3.8376891349974604
a,pressure_melt,surface,N2,3,3.5001432248257074,-4.194924547461376
a,pressure_melt,surface,N2,4,3.666857633752778,-4.6490441175466435
a,pressure_melt,surface,N2,5,3.8335338487411583,-5.241113969677128
a,pressure_melt,surface,N2,6,4.000248257668229,-6.037318343215564
a,pressure_melt,surface,N2,7,4.166466151258842,-7.12935829270068
a,pressure_melt,surface,N2,8,4.333180559208159,-8.655184100177694
a,pressure_melt,surface,N2,9,4.436837582003408,-10.0
a,pressure_melt,surface,NH3,0,3.0,-4.047006759488036
a,pressure_melt,surface,NH3,1,3.1667144089270707,-3.934573292618813
a,pressure_melt,surface,NH3,2,3.333428816876389,-3.8556306456680813
a,pressure_melt,surface,NH3,3,3.5001432248257074,-3.8069892167388435
a,pressure_melt,surface,NH3,4,3.666857633752778,-3.7942308091508457
a,pressure_melt,surface,NH3,5,3.8335338487411583,-3.8301138304920865
a,pressure_melt,surface,NH3,6,4.000248257668229,-3.932181091196063
a,pressure_melt,surface,NH3,7,4.166466151258842,-4.125949406438767
a,pressure_melt,surface,NH3,8,4.333180559208159,-4.457668003726688
a,pressure_melt,surface,NH3,9,4.499894967157478,-4.996112676515555
a,pressure_melt,surface,NH3,10,4.666609376084549,-5.845942229395609
a,pressure_melt,surface,NH3,11,4.833285591072929,-7.175208819970044
a,pressure_melt,surface,NH3,12,5.0,-9.239678647802805
a,pressure_melt,base,H2,0,3.0,-0.35723541246391477
