reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,temperature_k
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,30,61.380558,105.662573,4.969024517738071,93116.04418815352,3369.043221654575
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,31,61.484529,105.382928,4.9645554022683465,92162.74518098489,3359.438502388498
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,32,61.584915,105.106868,4.960240385335319,91251.57841010725,3349.9569139438863
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,0,61.6853,104.834393,4.955925411386542,90349.42882976493,3340.5984563207408
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,1,61.789271,104.371902,4.951456295916817,89424.45374568975,3324.713687352629
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,2,61.889656,103.909412,4.94714132196804,88540.36785014014,3308.828952730633
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,3,61.990042,103.450507,4.9428263050350125,87665.01370451543,3293.067348930103
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,4,62.094012,102.995187,4.938357232549538,86767.52958570448,3277.4288759510387
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,5,62.294783,102.084548,4.929727241667733,85060.36494077378,3246.1519643390247
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,6,62.398754,101.632813,4.925258126198008,84189.53798335287,3230.636622181426
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,7,62.49914,101.181078,4.9209431092649805,83357.19830732292,3215.121280023828
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,8,62.599525,100.732929,4.916628135316203,82533.09572431326,3199.7291030338106
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,9,62.703496,100.288364,4.912159019846478,81688.1423234411,3184.460022519145
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,10,62.904267,99.399236,4.903529028964674,80080.91541320753,3153.921930182042
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,11,63.008237,98.958257,4.899059956479199,79261.07467211729,3138.776014834957
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,12,63.108623,98.517278,4.894744939546172,78477.46023741853,3123.630099487872
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,13,63.209008,98.079884,4.890429965597394,77701.60069555562,3108.607314962253
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,14,63.312979,97.64249,4.8859608501276695,76906.11094462921,3093.584530436634
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,15,63.51375,96.774873,4.877330859245864,75392.97124581934,3063.785257374443
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,16,63.617721,96.344649,4.87286174377614,74621.11667163979,3049.0087344917565
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,17,63.818492,95.484202,4.8642317528943355,73152.93459067792,3019.4557230724968
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,18,63.918877,95.057564,4.859916778945558,72429.71543774223,3004.8023653573914
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,19,64.022848,94.630926,4.855447663475833,71688.19794289689,2990.149007642285
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,20,64.123233,94.204287,4.851132689527056,70979.45976196334,2975.495615581064
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,21,64.223619,93.781234,4.846817672594028,70277.72149426154,2960.965388687425
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,22,64.327589,93.358181,4.842348600108553,69558.24246514836,2946.435161793785
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,23,64.427975,92.935128,4.838033583175526,68870.55505902313,2931.9049349001452
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,24,64.52836,92.51566,4.833718609226748,68189.6732219417,2917.4978388279715
