reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,12,267.063237,326.320614,5.126849564861673,133921.27175725673,-2.5934569332673743,0.0025500169472244616
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,13,267.264008,326.170036,5.118218243813174,131285.94779225136,-2.622761487402873,0.0023836281879497756
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,14,267.367979,326.091161,5.1137484395051125,129941.66866010944,-2.6381116494945265,0.0023008502331267745
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,15,267.468364,326.015872,5.109432800476299,128656.81635625276,-2.652763926562276,0.002224518764144901
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,16,267.56875,325.936998,5.105117118456611,127384.65595421479,-2.6681138940401476,0.002147267277896886
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,17,267.67272,325.858124,5.100647357139425,126080.33588727689,-2.6834638615180304,0.0020726985256512087
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,18,267.773106,325.779249,5.096331675119739,124833.65176020189,-2.698814023609684,0.002000718446801062
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,19,267.873491,325.69679,5.092016036090925,123599.30709834817,-2.7148616814976774,0.0019281389086053438
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,20,267.977462,325.617916,5.087546231782865,122333.73395763095,-2.73021164897556,0.0018611798886216438
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,21,268.178233,325.452997,5.0789149107343645,119926.43139399099,-2.7623071593653408,0.00172859336084109
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,22,268.282204,325.366952,5.074445106426303,118698.4660113569,-2.779052702277239,0.0016632108050339896
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,23,268.382589,325.284492,5.07012946739749,117524.78555079679,-2.7951005547790255,0.0016028742247399172
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,24,268.482975,325.198448,5.065813785377801,116362.6988252732,-2.8118459030771525,0.0015422475781337697
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,25,268.586945,325.108818,5.061344024060616,115171.2350497977,-2.829289136399184,0.001481531410663226
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,26,268.687331,325.022773,5.05702834204093,114032.42026459142,-2.846034679311093,0.001425493760437271
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,27,268.787716,324.933143,5.052712703012117,112904.8772724004,-2.8634779126331242,0.0013693740303018188
